Year,EventId,PlayerCode,Date,EventName,EventType,EventCountry,PlayerRank,PointsGained,PrizeUsd,SglDrawSize,Surface,TotPrizeMoney
2024,4787,ae14,2024-11-04,Belgrade,250,Serbia,93,25,14266,28,Hard,750000
2024,328,ae14,2024-10-21,Basel,500,Switzerland,82,25,20216,32,Hard,2385100
2024,7485,ae14,2024-10-14,Antwerp,250,Belgium,84,25,13242,28,Hard,690135
2024,7742,ae14,2024-09-23,Lisbon,CH,Portugal,84,0,1339,32,Clay,120950
2024,448,ae14,2024-09-09,Szczecin,CH,Poland,84,16,4567,32,Clay,148625
2024,784,ae14,2024-09-02,Seville,CH,Spain,89,64,13205,32,Clay,148625
2024,560,ae14,2024-08-26,US Open,GS,"NY, U.S.A.",89,10,100000,128,Hard,33977000
2024,422,ae14,2024-08-12,ATP Masters 1000 Cincinnati,1000,"OH, U.S.A.",87,0,7290,56,Hard,6795555
2024,421,ae14,2024-08-05,ATP Masters 1000 Canada,1000,Canada,89,0,7290,56,Hard,6795555
2024,319,ae14,2024-07-22,Kitzbuhel,250,Austria,71,0,6762,28,Clay,579320
2024,414,ae14,2024-07-15,Hamburg,500,Germany,71,0,15991,32,Clay,1891995
2024,526,ae14,2024-07-08,Braunschweig,CH,Germany,80,0,1587,32,Clay,148625
2024,540,ae14,2024-07-01,Wimbledon,GS,Great Britain,80,50,117599,128,Grass,20747000
2024,9835,ae14,2024-06-17,Sassuolo,CH,Italy,82,64,12791,32,Clay,148625
2024,9001,ae14,2024-06-10,Perugia,CH,Italy,89,35,7639,32,Clay,148625
2024,460,ae14,2024-06-03,Heilbronn,CH,Germany,83,7,2126,32,Clay,120950
2024,520,ae14,2024-05-27,Roland Garros,GS,France,83,50,119559,128,Clay,24961000
2024,322,ae14,2024-05-20,Geneva,250,Switzerland,83,0,6755,28,Clay,579320
2024,416,ae14,2024-05-06,ATP Masters 1000 Rome,1000,Italy,78,10,21911,96,Clay,7877020
2024,2861,ae14,2024-04-29,Cagliari,CH,Italy,61,0,2331,28,Clay,205000
2024,1536,ae14,2024-04-22,ATP Masters 1000 Madrid,1000,Spain,61,50,55054,96,Clay,7877020
2024,425,ae14,2024-04-15,Barcelona,500,Spain,66,25,21654,48,Clay,2782960
2024,410,ae14,2024-04-08,ATP Masters 1000 Monte-Carlo,1000,Monaco,52,26,13202,56,Clay,5950575
2024,7290,ae14,2024-04-01,Estoril,250,Portugal,54,0,6707,28,Clay,579320
2024,403,ae14,2024-03-18,ATP Masters 1000 Miami,1000,"FL, U.S.A.",54,30,34500,96,Hard,8995555
2024,404,ae14,2024-03-04,ATP Masters 1000 Indian Wells,1000,"CA, U.S.A.",53,10,30050,96,Hard,9495555
2024,807,ae14,2024-02-26,Acapulco,500,Mexico,57,50,32265,32,Hard,2206080
2024,506,ae14,2024-02-12,Buenos Aires,250,Argentina,53,0,6890,28,Clay,642615
2024,9158,ae14,2024-02-05,Cordoba,250,Argentina,52,0,6030,28,Clay,562345
2024,580,ae14,2024-01-15,Australian Open,GS,Australia,50,10,80220,128,Hard,38923200
2024,301,ae14,2024-01-08,Auckland,250,New Zealand,57,50,19995,28,Hard,661585
2024,339,ae14,2024-01-01,Brisbane,250,Australia,56,25,10655,32,Hard,661585
2024,341,bd06,2024-11-04,Metz,250,France,47,0,6735,28,Hard,579320
2024,328,bd06,2024-10-21,Basel,500,Switzerland,45,50,37901,32,Hard,2385100
2024,7485,bd06,2024-10-14,Antwerp,250,Belgium,60,250,114801,28,Hard,690135
2024,5014,bd06,2024-09-30,ATP Masters 1000 Shanghai,1000,China,57,10,23250,96,Hard,8995555
2024,747,bd06,2024-09-23,Beijing,500,China,61,75,54405,32,Hard,3720165
2024,4837,bd06,2024-09-09,CZE vs ESP Group B RR,DC,Spain,62,0,0,2,Hard,0
2024,4838,bd06,2024-09-09,FRA vs ESP Group B RR,DC,Spain,62,0,0,2,Hard,0
2024,560,bd06,2024-08-26,US Open,GS,"NY, U.S.A.",67,50,140000,128,Hard,33977000
2024,422,bd06,2024-08-12,ATP Masters 1000 Cincinnati,1000,"OH, U.S.A.",69,0,7290,56,Hard,6795555
2024,421,bd06,2024-08-05,ATP Masters 1000 Canada,1000,Canada,72,26,13915,56,Hard,6795555
2024,418,bd06,2024-07-29,Washington,500,"DC, U.S.A.",76,0,8190,48,Hard,2100230
