,playercode,EventId,TotPrizeMoney,Same_Nationality,iscritto,ha_pts_def,EventType_500,Surface_Grass,Surface_Hard
297,rh24,506,658390,0,0,1,0,0,0
298,rh24,407,2401550,0,0,0,1,0,1
299,rh24,424,2760000,0,0,0,1,0,1
300,rh24,8998,680140,0,0,1,0,0,1
301,rh24,301,680140,0,0,1,0,0,1
302,h0bh,341,596035,0,0,1,0,0,1
303,h0bh,5100,766715,0,0,1,0,0,1
304,h0bh,7485,706850,0,0,1,0,0,1
305,h0bh,429,706850,0,0,1,0,0,1
306,h0bh,9410,1055255,0,1,1,0,0,1
307,h0bh,747,4016050,0,0,1,1,0,1
308,h0bh,329,2226470,0,0,1,1,0,1
309,h0bh,6242,798335,0,0,1,0,0,1
310,h0bh,319,596035,0,0,0,0,0,0
311,h0bh,418,2396115,0,1,0,1,0,1
312,h0bh,439,596035,0,0,0,0,0,0
313,h0bh,8994,596035,0,1,1,0,1,0
314,h0bh,741,756875,0,0,1,0,1,0
315,h0bh,311,2522220,0,0,0,1,1,0
316,h0bh,500,2522220,0,0,0,1,1,0
317,h0bh,414,2158560,0,0,0,1,0,0
318,h0bh,322,596035,0,0,0,0,0,0
319,h0bh,308,2500000,0,1,0,1,0,0
320,h0bh,425,2889200,0,0,0,1,0,0
321,h0bh,495,3237670,0,0,1,1,0,1
322,h0bh,807,2585410,0,1,1,1,0,1
323,h0bh,8996,680140,0,0,1,0,0,0
324,h0bh,451,2760000,0,0,1,1,0,1
325,h0bh,6932,2396115,0,0,1,1,0,0
326,h0bh,496,740730,0,0,1,0,0,1
327,h0bh,499,680140,0,1,1,0,0,1
328,h0bh,506,658390,0,0,1,0,0,0
329,h0bh,407,2401550,0,0,1,1,0,1
330,h0bh,424,2760000,0,1,1,1,0,1
331,h0bh,8998,680140,1,1,1,0,0,1
332,h0bh,301,680140,0,0,1,0,0,1
333,bm95,328,2523045,0,0,1,1,0,1
334,bm95,337,2736875,0,0,1,1,0,1
335,bm95,7485,706850,0,1,1,0,0,1
336,bm95,429,706850,0,0,1,0,0,1
337,bm95,9410,1055255,0,0,1,0,0,1
338,bm95,747,4016050,0,1,1,1,0,1
339,bm95,329,2226470,0,0,1,1,0,1
340,bm95,7581,1190210,0,0,1,0,0,1
341,bm95,4713,1019185,0,0,1,0,0,1
342,bm95,6242,798335,0,0,0,0,0,1
343,bm95,319,596035,0,0,1,0,0,0
344,bm95,418,2396115,0,1,1,1,0,1
345,bm95,439,596035,0,0,1,0,0,0
346,bm95,314,596035,0,0,1,0,0,0
347,bm95,7480,889890,0,0,1,0,0,1
348,bm95,316,596035,0,0,1,0,0,0
349,bm95,8994,596035,0,1,1,0,1,0
350,bm95,741,756875,0,0,1,0,1,0
351,bm95,311,2522220,0,0,0,1,1,0
352,bm95,500,2522220,0,1,0,1,1,0
353,bm95,414,2158560,0,0,0,1,0,0
354,bm95,322,596035,0,0,0,0,0,0
355,bm95,308,2500000,0,0,1,1,0,0
356,bm95,425,2889200,0,1,1,1,0,0
357,bm95,4462,596035,0,0,0,0,0,0
358,bm95,360,596035,0,0,0,0,0,0
359,bm95,717,680140,0,0,0,0,0,0
360,bm95,495,3237670,0,0,1,1,0,1
361,bm95,807,2585410,0,1,1,1,0,1
362,bm95,8996,680140,0,0,1,0,0,0
363,bm95,451,2760000,0,0,1,1,0,1
364,bm95,6932,2396115,0,0,1,1,0,0
365,bm95,496,740730,1,1,0,0,0,1
366,bm95,499,680140,0,0,0,0,0,1
367,bm95,506,658390,0,0,0,0,0,0
368,bm95,407,2401550,0,0,0,1,0,1
369,bm95,424,2760000,0,0,0,1,0,1
370,bm95,375,596035,0,0,0,0,0,1
371,bm95,8998,680140,0,1,0,0,0,1
372,bm95,301,680140,0,0,0,0,0,1
373,mc65,6242,798335,0,0,1,0,0,1
374,mc65,308,2500000,0,0,1,1,0,0
375,mc65,425,2889200,0,0,1,1,0,0
376,mc65,495,3237670,0,1,1,1,0,1
377,mc65,807,2585410,0,0,1,1,0,1
378,mc65,8996,680140,0,0,1,0,0,0
379,mc65,451,2760000,0,0,1,1,0,1
380,mc65,6932,2396115,0,0,1,1,0,0
381,mc65,407,2401550,0,0,0,1,0,1
382,mc65,424,2760000,0,0,0,1,0,1
383,da81,341,596035,0,0,1,0,0,1
384,da81,5100,766715,0,0,1,0,0,1
385,da81,328,2523045,0,0,0,1,0,1
386,da81,337,2736875,0,0,0,1,0,1
387,da81,747,4016050,0,0,1,1,0,1
388,da81,329,2226470,0,0,1,1,0,1
389,da81,6242,798335,0,0,0,0,0,1
390,da81,319,596035,0,0,0,0,0,0
391,da81,418,2396115,0,1,0,1,0,1
392,da81,439,596035,0,0,0,0,0,0
393,da81,314,596035,0,0,0,0,0,0
394,da81,7480,889890,0,1,0,0,0,1
395,da81,316,596035,0,0,0,0,0,0
396,da81,8994,596035,0,0,1,0,1,0
397,da81,741,756875,0,0,1,0,1,0
398,da81,414,2158560,0,0,1,1,0,0
399,da81,322,596035,0,0,1,0,0,0
400,da81,308,2500000,0,0,0,1,0,0
401,da81,425,2889200,0,0,0,1,0,0
402,da81,495,3237670,0,0,0,1,0,1
403,da81,807,2585410,0,0,0,1,0,1
404,da81,8996,680140,0,0,0,0,0,0
405,da81,451,2760000,0,0,0,1,0,1
406,da81,6932,2396115,0,0,0,1,0,0
407,da81,496,740730,0,0,1,0,0,1
408,da81,499,680140,0,1,1,0,0,1
409,da81,506,658390,0,0,1,0,0,0
410,da81,8998,680140,0,1,1,0,0,1
411,da81,301,680140,0,0,1,0,0,1
412,g628,341,596035,0,0,0,0,0,1
413,g628,5100,766715,0,0,0,0,0,1
414,g628,328,2523045,0,0,0,1,0,1
415,g628,337,2736875,0,0,0,1,0,1
416,g628,747,4016050,0,0,1,1,0,1
417,g628,329,2226470,0,0,1,1,0,1
418,g628,319,596035,0,0,0,0,0,0
419,g628,418,2396115,0,0,0,1,0,1
420,g628,439,596035,0,0,0,0,0,0
421,g628,314,596035,0,0,0,0,0,0
422,g628,7480,889890,0,0,0,0,0,1
423,g628,316,596035,0,0,0,0,0,0
424,g628,8994,596035,0,0,1,0,1,0
425,g628,741,756875,0,0,1,0,1,0
426,g628,311,2522220,0,0,1,1,1,0
427,g628,500,2522220,0,0,1,1,1,0
428,g628,495,3237670,0,0,1,1,0,1
429,g628,807,2585410,0,0,1,1,0,1
430,g628,8996,680140,0,0,1,0,0,0
431,g628,451,2760000,0,0,1,1,0,1
432,g628,6932,2396115,0,0,1,1,0,0
433,g628,496,740730,1,1,0,0,0,1
434,g628,499,680140,0,0,0,0,0,1
435,g628,506,658390,0,0,0,0,0,0
436,g628,407,2401550,0,0,0,1,0,1
437,g628,424,2760000,0,0,0,1,0,1
438,g628,8998,680140,0,0,1,0,0,1
439,g628,301,680140,0,0,1,0,0,1
440,ke73,328,2523045,0,0,0,1,0,1
441,ke73,337,2736875,0,0,0,1,0,1
442,ke73,319,596035,0,0,0,0,0,0
443,ke73,418,2396115,0,0,0,1,0,1
444,ke73,439,596035,0,0,0,0,0,0
445,ke73,8994,596035,0,0,1,0,1,0
446,ke73,741,756875,0,0,1,0,1,0
447,ke73,311,2522220,0,0,1,1,1,0
448,ke73,500,2522220,0,0,1,1,1,0
449,ke73,308,2500000,0,0,1,1,0,0
450,ke73,425,2889200,0,0,1,1,0,0
451,ke73,495,3237670,0,0,0,1,0,1
452,ke73,807,2585410,0,0,0,1,0,1
453,ke73,8996,680140,0,0,0,0,0,0
454,ke73,496,740730,0,0,1,0,0,1
455,ke73,499,680140,0,0,1,0,0,1
456,ke73,506,658390,0,0,1,0,0,0
457,ke73,407,2401550,0,0,0,1,0,1
458,ke73,424,2760000,0,0,0,1,0,1
459,ke73,8998,680140,0,0,1,0,0,1
460,ke73,301,680140,0,0,1,0,0,1
461,sx91,328,2523045,0,0,1,1,0,1
462,sx91,337,2736875,0,0,1,1,0,1
463,sx91,747,4016050,0,0,1,1,0,1
464,sx91,329,2226470,0,0,1,1,0,1
465,sx91,7581,1190210,0,0,0,0,0,1
466,sx91,4713,1019185,0,0,0,0,0,1
467,sx91,319,596035,0,1,0,0,0,0
468,sx91,418,2396115,0,0,0,1,0,1
469,sx91,439,596035,0,0,0,0,0,0
470,sx91,314,596035,0,0,0,0,0,0
471,sx91,7480,889890,0,0,0,0,0,1
472,sx91,316,596035,0,1,0,0,0,0
473,sx91,414,2158560,0,0,0,1,0,0
474,sx91,322,596035,0,0,0,0,0,0
475,sx91,495,3237670,0,0,1,1,0,1
476,sx91,807,2585410,0,0,1,1,0,1
477,sx91,8996,680140,0,1,1,0,0,0
