"playercode","EventId","EventType","Surface","TotPrizeMoney","Same_Nationality","iscritto","ha_pts_def"
hh06,7694,"250",Clay,579320,0,0,0
hh06,360,"250",Clay,579320,0,0,0
hh06,316,"250",Clay,579320,0,0,0
hh06,375,"250",Hard,579320,0,1,0
cg04,328,"500",Hard,2385100,0,1,0
cg04,7485,"250",Hard,690135,0,0,0
cg04,329,"500",Hard,1818380,0,0,0
cg04,6242,"250",Hard,779780,0,0,0
cg04,314,"250",Clay,579320,0,1,0
cg04,440,"250",Grass,690135,0,0,0
cg04,308,"250",Clay,579320,0,0,0
cg04,7290,"250",Clay,579320,0,1,0
cg04,495,"500",Hard,2941785,0,0,0
cg04,451,"250",Hard,1395875,0,0,0
cg04,407,"500",Hard,2134985,0,0,0
cg04,301,"250",Hard,661585,0,1,0
cg04,336,"250",Hard,661585,0,0,0
cg04,4787,"250",Hard,750000,0,0,0
cg04,747,"500",Hard,3720165,0,0,0
cg04,7581,"250",Hard,1171655,0,0,0
cg04,319,"250",Clay,579320,0,1,0
cg04,8994,"250",Grass,932135,0,1,0
cg04,500,"500",Grass,2255655,0,0,0
cg04,321,"250",Grass,734915,0,0,0
cg04,322,"250",Clay,579320,0,0,0
cg04,8996,"250",Clay,661585,0,1,0
cg04,6932,"500",Clay,2100230,0,1,0
cg04,506,"250",Clay,642615,0,1,0
cg04,9158,"250",Clay,562345,0,1,0
cg04,8998,"250",Hard,661585,0,0,0
cg04,339,"250",Hard,661585,0,0,0
cg04,337,"500",Hard,2470310,0,0,0
cg04,439,"250",Clay,579320,0,0,0
cg04,414,"500",Clay,1891995,0,1,0
cg04,425,"500",Clay,2782960,0,1,0
cg04,807,"500",Hard,2206080,0,0,0
cg04,418,"500",Hard,2100230,0,0,0
cg04,6116,"250",Hard,756020,0,0,0
cg04,717,"250",Clay,661585,0,0,0
cg04,429,"250",Hard,690135,0,0,0
cg04,741,"250",Grass,740160,0,0,0
cg04,4462,"250",Clay,579320,0,0,0
cg04,7480,"250",Hard,915245,0,0,0
cg04,499,"250",Hard,661585,0,0,0
cg04,311,"500",Grass,2255655,0,0,0
cg04,424,"250",Hard,756020,0,0,0
cg04,341,"250",Hard,579320,0,0,0
cg04,496,"250",Hard,724015,0,0,0
cg04,9410,"250",Hard,1036700,0,0,0
cg04,4713,"250",Hard,1000630,0,0,0
cg04,315,"250",Grass,661585,0,0,0
cg04,7694,"250",Clay,579320,0,1,0
cg04,360,"250",Clay,579320,0,0,0
cg04,316,"250",Clay,579320,0,0,0
cg04,375,"250",Hard,579320,0,0,0
mu94,328,"500",Hard,2385100,0,0,0
mu94,7485,"250",Hard,690135,0,1,0
mu94,329,"500",Hard,1818380,0,0,0
mu94,6242,"250",Hard,779780,0,0,0
mu94,314,"250",Clay,579320,0,1,0
mu94,440,"250",Grass,690135,0,0,0
mu94,308,"250",Clay,579320,0,0,0
mu94,7290,"250",Clay,579320,0,0,0
mu94,495,"500",Hard,2941785,0,0,0
mu94,451,"250",Hard,1395875,0,0,0
mu94,407,"500",Hard,2134985,0,0,0
mu94,301,"250",Hard,661585,0,1,0
mu94,336,"250",Hard,661585,0,0,0
mu94,4787,"250",Hard,750000,0,0,0
mu94,747,"500",Hard,3720165,0,0,0
mu94,7581,"250",Hard,1171655,0,0,0
mu94,319,"250",Clay,579320,0,0,0
mu94,8994,"250",Grass,932135,1,0,0
mu94,500,"500",Grass,2255655,0,0,0
mu94,321,"250",Grass,734915,0,0,0
mu94,322,"250",Clay,579320,0,0,0
mu94,8996,"250",Clay,661585,0,1,0
mu94,6932,"500",Clay,2100230,0,1,0
mu94,506,"250",Clay,642615,0,1,0
mu94,9158,"250",Clay,562345,0,0,0
mu94,8998,"250",Hard,661585,0,0,0
mu94,339,"250",Hard,661585,0,0,0
mu94,337,"500",Hard,2470310,0,0,0
mu94,439,"250",Clay,579320,0,1,0
mu94,414,"500",Clay,1891995,0,0,0
mu94,425,"500",Clay,2782960,1,1,0
mu94,807,"500",Hard,2206080,0,0,0
mu94,418,"500",Hard,2100230,0,0,0
mu94,6116,"250",Hard,756020,0,0,0
mu94,717,"250",Clay,661585,0,0,0
mu94,429,"250",Hard,690135,0,0,0
mu94,741,"250",Grass,740160,0,0,0
mu94,4462,"250",Clay,579320,0,0,0
mu94,7480,"250",Hard,915245,0,0,0
mu94,499,"250",Hard,661585,0,0,0
mu94,311,"500",Grass,2255655,0,0,0
mu94,424,"250",Hard,756020,0,0,0
mu94,341,"250",Hard,579320,0,0,0
mu94,496,"250",Hard,724015,0,0,0
mu94,9410,"250",Hard,1036700,0,0,0
mu94,4713,"250",Hard,1000630,0,0,0
mu94,315,"250",Grass,661585,0,0,0
mu94,7694,"250",Clay,579320,0,0,0
mu94,360,"250",Clay,579320,0,1,0
mu94,316,"250",Clay,579320,0,0,0
mu94,375,"250",Hard,579320,0,0,0
kc56,328,"500",Hard,2385100,0,0,0
kc56,7485,"250",Hard,690135,0,0,0
kc56,329,"500",Hard,1818380,0,1,0
kc56,6242,"250",Hard,779780,0,0,0
kc56,314,"250",Clay,579320,0,0,0
kc56,440,"250",Grass,690135,0,0,0
kc56,308,"250",Clay,579320,0,1,0
kc56,7290,"250",Clay,579320,0,0,0
kc56,495,"500",Hard,2941785,0,0,0
kc56,451,"250",Hard,1395875,0,1,0
kc56,407,"500",Hard,2134985,0,1,0
kc56,301,"250",Hard,661585,0,0,0
kc56,336,"250",Hard,661585,0,0,0
kc56,4787,"250",Hard,750000,0,0,0
kc56,747,"500",Hard,3720165,0,0,0
kc56,7581,"250",Hard,1171655,0,0,0
kc56,319,"250",Clay,579320,0,0,0
kc56,8994,"250",Grass,932135,0,0,0
kc56,500,"500",Grass,2255655,0,1,0
kc56,321,"250",Grass,734915,0,1,0
kc56,322,"250",Clay,579320,0,0,0
kc56,8996,"250",Clay,661585,0,0,0
kc56,6932,"500",Clay,2100230,0,0,0
kc56,506,"250",Clay,642615,0,0,0
kc56,9158,"250",Clay,562345,0,0,0
kc56,8998,"250",Hard,661585,0,0,0
kc56,339,"250",Hard,661585,0,0,0
kc56,337,"500",Hard,2470310,0,1,0
kc56,439,"250",Clay,579320,0,0,0
kc56,414,"500",Clay,1891995,0,0,0
kc56,425,"500",Clay,2782960,0,0,0
kc56,807,"500",Hard,2206080,0,0,0
kc56,418,"500",Hard,2100230,0,1,0
kc56,6116,"250",Hard,756020,0,0,0
kc56,717,"250",Clay,661585,0,0,0
kc56,429,"250",Hard,690135,0,0,0
kc56,741,"250",Grass,740160,0,0,0
kc56,4462,"250",Clay,579320,0,0,0
kc56,7480,"250",Hard,915245,0,0,0
kc56,499,"250",Hard,661585,0,0,0
kc56,311,"500",Grass,2255655,0,0,0
kc56,424,"250",Hard,756020,0,0,0
kc56,341,"250",Hard,579320,0,0,0
kc56,496,"250",Hard,724015,0,0,0
kc56,9410,"250",Hard,1036700,0,0,0
kc56,4713,"250",Hard,1000630,0,0,0
kc56,315,"250",Grass,661585,0,0,0
kc56,7694,"250",Clay,579320,0,0,0
kc56,360,"250",Clay,579320,0,1,0
kc56,316,"250",Clay,579320,0,0,0
kc56,375,"250",Hard,579320,0,1,0
bm95,328,"500",Hard,2385100,0,0,0
bm95,7485,"250",Hard,690135,0,1,0
bm95,329,"500",Hard,1818380,0,0,0
bm95,6242,"250",Hard,779780,0,1,0
bm95,314,"250",Clay,579320,0,1,0
bm95,440,"250",Grass,690135,0,0,0
bm95,308,"250",Clay,579320,0,0,0
bm95,7290,"250",Clay,579320,0,0,0
bm95,495,"500",Hard,2941785,0,0,0
bm95,451,"250",Hard,1395875,0,0,0
bm95,407,"500",Hard,2134985,0,1,0
bm95,301,"250",Hard,661585,0,0,0
bm95,336,"250",Hard,661585,0,0,0
bm95,4787,"250",Hard,750000,0,0,0
bm95,747,"500",Hard,3720165,0,0,0
bm95,7581,"250",Hard,1171655,0,0,0
bm95,319,"250",Clay,579320,0,0,0
bm95,8994,"250",Grass,932135,0,0,0
bm95,500,"500",Grass,2255655,0,1,0
bm95,321,"250",Grass,734915,0,1,0
bm95,322,"250",Clay,579320,0,0,0
bm95,8996,"250",Clay,661585,0,0,0
bm95,6932,"500",Clay,2100230,0,0,0
bm95,506,"250",Clay,642615,0,0,0
bm95,9158,"250",Clay,562345,0,0,0
bm95,8998,"250",Hard,661585,0,1,0
bm95,339,"250",Hard,661585,0,0,0
bm95,337,"500",Hard,2470310,0,0,0
bm95,439,"250",Clay,579320,0,1,0
bm95,414,"500",Clay,1891995,0,0,0
bm95,425,"500",Clay,2782960,0,0,0
bm95,807,"500",Hard,2206080,0,0,0
bm95,418,"500",Hard,2100230,0,0,0
bm95,6116,"250",Hard,756020,0,0,0
bm95,717,"250",Clay,661585,0,0,0
bm95,429,"250",Hard,690135,0,0,0
bm95,741,"250",Grass,740160,0,0,0
bm95,4462,"250",Clay,579320,0,0,0
bm95,7480,"250",Hard,915245,0,0,0
bm95,499,"250",Hard,661585,0,0,0
bm95,311,"500",Grass,2255655,0,0,0
bm95,424,"250",Hard,756020,0,0,0
bm95,341,"250",Hard,579320,0,0,0
bm95,496,"250",Hard,724015,1,1,0
bm95,9410,"250",Hard,1036700,0,0,0
bm95,4713,"250",Hard,1000630,0,0,0
bm95,315,"250",Grass,661585,0,0,0
bm95,7694,"250",Clay,579320,0,0,0
bm95,360,"250",Clay,579320,0,1,0
bm95,316,"250",Clay,579320,0,0,0
bm95,375,"250",Hard,579320,0,1,0
gc88,328,"500",Hard,2385100,0,1,0
gc88,7485,"250",Hard,690135,0,0,0
gc88,329,"500",Hard,1818380,0,1,0
gc88,6242,"250",Hard,779780,0,1,0
gc88,314,"250",Clay,579320,0,0,0
gc88,440,"250",Grass,690135,0,0,0
gc88,308,"250",Clay,579320,0,1,0
gc88,7290,"250",Clay,579320,0,0,0
gc88,495,"500",Hard,2941785,0,0,0
gc88,451,"250",Hard,1395875,0,0,0
gc88,407,"500",Hard,2134985,0,0,0
gc88,301,"250",Hard,661585,0,1,0
gc88,336,"250",Hard,661585,0,0,0
gc88,4787,"250",Hard,750000,0,0,0
gc88,747,"500",Hard,3720165,0,0,0
gc88,7581,"250",Hard,1171655,0,1,0
gc88,319,"250",Clay,579320,0,0,0
gc88,8994,"250",Grass,932135,0,1,0
gc88,500,"500",Grass,2255655,0,1,0
gc88,321,"250",Grass,734915,0,1,0
gc88,322,"250",Clay,579320,0,1,0
gc88,8996,"250",Clay,661585,0,0,0
gc88,6932,"500",Clay,2100230,0,0,0
gc88,506,"250",Clay,642615,0,0,0
gc88,9158,"250",Clay,562345,0,0,0
gc88,8998,"250",Hard,661585,0,0,0
gc88,339,"250",Hard,661585,0,0,0
gc88,337,"500",Hard,2470310,0,0,0
gc88,439,"250",Clay,579320,0,0,0
gc88,414,"500",Clay,1891995,0,0,0
gc88,425,"500",Clay,2782960,0,0,0
gc88,807,"500",Hard,2206080,0,1,0
gc88,418,"500",Hard,2100230,0,1,0
gc88,6116,"250",Hard,756020,0,0,0
gc88,717,"250",Clay,661585,0,1,0
gc88,429,"250",Hard,690135,0,0,0
gc88,741,"250",Grass,740160,0,0,0
gc88,4462,"250",Clay,579320,0,0,0
gc88,7480,"250",Hard,915245,0,0,0
gc88,499,"250",Hard,661585,0,1,0
gc88,311,"500",Grass,2255655,0,0,0
gc88,424,"250",Hard,756020,0,1,0
gc88,341,"250",Hard,579320,0,1,0
gc88,496,"250",Hard,724015,0,0,0
gc88,9410,"250",Hard,1036700,0,1,0
gc88,4713,"250",Hard,1000630,0,0,0
gc88,315,"250",Grass,661585,0,0,0
gc88,7694,"250",Clay,579320,0,0,0
gc88,360,"250",Clay,579320,0,0,0
gc88,316,"250",Clay,579320,0,0,0
