"playercode","EventId","iscritto","Year","date_tournament","EventName","EventType","EventCountry","Surface","TotPrizeMoney","Same_Nationality","Rank","ha_pts_def"
cf59,9158,1,2023,"2023-02-06",Cordoba,250,Argentina,Clay,642735,0,77,1
cf59,499,0,2023,"2023-02-13",Delray Beach,250,"FL, U.S.A.",Hard,642735,0,76,1
cf59,424,0,2023,"2023-02-06",Dallas,250,"TX, U.S.A.",Hard,737170,0,77,1
ce77,506,1,2023,"2023-02-13",Buenos Aires,250,Argentina,Clay,626595,1,49,1
ce77,301,1,2023,"2023-01-09",Auckland,250,New Zealand,Hard,642735,0,76,0
ce77,407,0,2023,"2023-02-13",Rotterdam,500,Netherlands,Hard,2074505,0,49,1
ce77,375,0,2023,"2023-02-06",Montpellier,250,France,Hard,562815,0,67,0
ce77,8998,0,2023,"2023-01-09",Adelaide 2,250,Australia,Hard,642735,0,76,0
ce77,9158,1,2023,"2023-02-06",Cordoba,250,Argentina,Clay,642735,1,67,0
ce77,499,0,2023,"2023-02-13",Delray Beach,250,"FL, U.S.A.",Hard,642735,0,49,1
ce77,424,0,2023,"2023-02-06",Dallas,250,"TX, U.S.A.",Hard,737170,0,67,0
o449,506,0,2023,"2023-02-13",Buenos Aires,250,Argentina,Clay,626595,0,80,0
o449,301,0,2023,"2023-01-09",Auckland,250,New Zealand,Hard,642735,0,74,1
o449,407,0,2023,"2023-02-13",Rotterdam,500,Netherlands,Hard,2074505,0,80,0
o449,8998,1,2023,"2023-01-09",Adelaide 2,250,Australia,Hard,642735,0,74,1
o449,499,1,2023,"2023-02-13",Delray Beach,250,"FL, U.S.A.",Hard,642735,0,80,0
o483,301,0,2023,"2023-01-09",Auckland,250,New Zealand,Hard,642735,0,79,0
o483,8998,1,2023,"2023-01-09",Adelaide 2,250,Australia,Hard,642735,1,79,0
ea24,506,1,2023,"2023-02-13",Buenos Aires,250,Argentina,Clay,626595,1,82,1
ea24,301,0,2023,"2023-01-09",Auckland,250,New Zealand,Hard,642735,0,80,0
ea24,407,0,2023,"2023-02-13",Rotterdam,500,Netherlands,Hard,2074505,0,82,1
ea24,375,0,2023,"2023-02-06",Montpellier,250,France,Hard,562815,0,81,1
ea24,8998,1,2023,"2023-01-09",Adelaide 2,250,Australia,Hard,642735,0,80,0
ea24,9158,1,2023,"2023-02-06",Cordoba,250,Argentina,Clay,642735,1,81,1
ea24,499,0,2023,"2023-02-13",Delray Beach,250,"FL, U.S.A.",Hard,642735,0,82,1
ea24,424,0,2023,"2023-02-06",Dallas,250,"TX, U.S.A.",Hard,737170,0,81,1
l987,506,1,2023,"2023-02-13",Buenos Aires,250,Argentina,Clay,626595,0,90,1
l987,301,1,2023,"2023-01-09",Auckland,250,New Zealand,Hard,642735,0,81,0
l987,407,0,2023,"2023-02-13",Rotterdam,500,Netherlands,Hard,2074505,0,90,1
l987,8998,0,2023,"2023-01-09",Adelaide 2,250,Australia,Hard,642735,0,81,0
l987,499,0,2023,"2023-02-13",Delray Beach,250,"FL, U.S.A.",Hard,642735,0,90,1
l0bv,506,0,2023,"2023-02-13",Buenos Aires,250,Argentina,Clay,626595,0,53,1
