PlayerCode,EventId,PointsGained,iscritto,year,date_tournament,EventName,EventType,EventCountry,Surface,TotPrizeMoney,Same_Nationality
mp20,807,0,1,2025,2025-02-24,Acapulco,500,Mexico,Hard,2585410,0
mp20,375,0,0,2025,2025-01-27,Montpellier,250,France,Hard,596035,1
mp20,341,0,0,2025,2025-11-03,Metz,250,France,Hard,596035,1
mp20,429,0,1,2025,2025-10-13,Stockholm,250,Sweden,Hard,706850,0
mp20,741,0,0,2025,2025-06-23,Eastbourne,250,Great Britain,Grass,756875,0
mp20,500,0,1,2025,2025-06-16,Halle,500,Germany,Grass,2522220,0
mp20,360,50,1,2025,2025-03-31,Marrakech,250,Morocco,Clay,596035,0
mp20,496,0,0,2025,2025-02-10,Marseille,250,France,Hard,740730,1
mp20,5100,50,1,2025,2025-11-03,Athens,250,Greece,Hard,766715,0
mp20,322,0,0,2025,2025-05-19,Geneva,250,Switzerland,Clay,596035,0
mp20,499,0,0,2025,2025-02-10,Delray Beach,250,"FL, U.S.A.",Hard,680140,0
mp20,424,0,0,2025,2025-02-03,Dallas,500,"TX, U.S.A.",Hard,2760000,0
mp20,6932,330,1,2025,2025-02-17,Rio de Janeiro,500,Brazil,Clay,2396115,0
mp20,506,0,1,2025,2025-02-10,Buenos Aires,250,Argentina,Clay,658390,0
mp20,9410,0,0,2025,2025-10-13,Almaty,250,Kazakhstan,Hard,1055255,0
mp20,329,0,0,2025,2025-09-22,Tokyo,500,Japan,Hard,2226470,0
mp20,7480,0,0,2025,2025-07-14,Los Cabos,250,Mexico,Hard,889890,0
mp20,439,0,0,2025,2025-07-21,Umag,250,Croatia,Clay,596035,0
mp20,425,0,0,2025,2025-04-14,Barcelona,500,Spain,Clay,2889200,0
mp20,337,0,0,2025,2025-10-20,Vienna,500,Austria,Hard,2736875,0
mp20,8996,0,0,2025,2025-02-24,Santiago,250,Chile,Clay,680140,0
mp20,717,0,0,2025,2025-03-31,Houston,250,"TX, U.S.A.",Clay,680140,0
